date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:59	1001/1001	---M-Z	200	added ('OK')	text/plain	date:Sat,%2022%20Oct%202022%2016:17:58%20GMT	https://harrypotter.fandom.com/robots.txt		(from )
10:18:02	1033905/1033905	---M-Z	200	added ('OK')	text/html	etag:W/%22fc6b1-irgw2+fQmKlY0eBo1CMX18QwfHY%22	https://harrypotter.fandom.com/f/p/4400000000003660267	/home/riley/websites/Fandom/harrypotter.fandom.com/f/p/4400000000003660267.html	(from )
10:18:02	1046/1046	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2020:28:20%20GMT	https://harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/ext.fandom.GlobalComponents.GlobalComponentsTheme.light.css	/home/riley/websites/Fandom/harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/ext.fandom.GlobalComponents.GlobalComponentsTheme.light.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:03	4619/4619	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Oct%202022%2016:18:03%20GMT	https://harrypotter.fandom.com/wikia.php?controller=ThemeApi&method=themeVariables&cityId=509&version=1666455427	/home/riley/websites/Fandom/harrypotter.fandom.com/wikia3b93.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:04	2830/2830	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2020:28:20%20GMT	https://harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/ext.fandom.GlobalComponents.GlobalNavigationTheme.default.css	/home/riley/websites/Fandom/harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/ext.fandom.GlobalComponents.GlobalNavigationTheme.default.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:05	20483/20483	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2020:28:33%20GMT	https://harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/globalNavigation.css	/home/riley/websites/Fandom/harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/globalNavigation.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:06	27125/27125	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2020:28:33%20GMT	https://harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/mobileGlobalNavigation.css	/home/riley/websites/Fandom/harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/mobileGlobalNavigation.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:07	3760/3760	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2020:28:33%20GMT	https://harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/globalFooter.css	/home/riley/websites/Fandom/harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/globalFooter.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:08	2216/2216	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2020:28:33%20GMT	https://harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/communityHeaderBackground.css	/home/riley/websites/Fandom/harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/communityHeaderBackground.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:09	9862/9862	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2020:28:32%20GMT	https://harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/communityHeader.css	/home/riley/websites/Fandom/harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/communityHeader.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:10	1443/1443	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2020:28:33%20GMT	https://harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/stickyNavigation.css	/home/riley/websites/Fandom/harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/stickyNavigation.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:11	6991/6991	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2020:28:32%20GMT	https://harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/communityBar.css	/home/riley/websites/Fandom/harrypotter.fandom.com/__cb2203295391339181/resources-ucp/v2/dist/styles/communityBar.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:12	145697/145697	---M-Z	200	added ('OK')	text/css	etag:%226336f621-5518%22	https://harrypotter.fandom.com/feeds-and-posts/public/7512810dd/assets/client.css	/home/riley/websites/Fandom/harrypotter.fandom.com/feeds-and-posts/public/7512810dd/assets/client.css	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:14	29978/29978	---M--	200	added ('OK')	image/png	etag:CI2mqI/r+/ACEAI=	https://static.wikia.nocookie.net/harrypotter/images/e/e6/Site-logo.png/revision/latest?cb=20210603160158	/home/riley/websites/Fandom/static.wikia.nocookie.net/harrypotter/images/e/e6/Site-logo.png/revision/Site-logo.png_;%20filename_=UTF-8''Site-logo1704.png	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:14	994/994	---M--	200	added ('OK')	image/jpeg	etag:CKzYqIrevPYCEAE=	https://static.wikia.nocookie.net/b13e9abf-81b8-4672-8a0f-6a9b213cc57b/scale-to-width/48	/home/riley/websites/Fandom/static.wikia.nocookie.net/b13e9abf-81b8-4672-8a0f-6a9b213cc57b/scale-to-width/phpqiVEGl.jpg_;%20filename_=UTF-8''phpqiVEGl.jpg	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:15	1643/1643	---M--	200	added ('OK')	image/jpeg	etag:CILd7LnlqPkCEAE=	https://static.wikia.nocookie.net/7f5c8f1b-9d8e-4e7f-8436-2420a5ac4ea2/scale-to-width/48	/home/riley/websites/Fandom/static.wikia.nocookie.net/7f5c8f1b-9d8e-4e7f-8436-2420a5ac4ea2/scale-to-width/1659456356883.jpg_;%20filename_=UTF-8''1659456356883.jpg	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:18	53666/53666	---M--	200	added ('OK')	image/jpeg	etag:CM+s3Na+8voCEAU=	https://static.wikia.nocookie.net/1101f570-d9cc-467e-821e-fc5c2aa9f3ef/scale-to-width/755	/home/riley/websites/Fandom/static.wikia.nocookie.net/1101f570-d9cc-467e-821e-fc5c2aa9f3ef/scale-to-width/static-assets-upload14280279984670009215.jpg_;%20filename_=UTF-8''static-assets-upload14280279984670009215.jpg	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:19	5748/5748	---M--	200	added ('OK')	image/png	etag:COu62JqL3voCEAI=	https://static.wikia.nocookie.net/cde961cf-498b-44c5-b5b8-bfc3057fff93/scale-to-width/48	/home/riley/websites/Fandom/static.wikia.nocookie.net/cde961cf-498b-44c5-b5b8-bfc3057fff93/scale-to-width/phpZR5FGg.png_;%20filename_=UTF-8''phpZR5FGg.png	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:22	1972/1972	---M--	200	added ('OK')	image/png	etag:COn2t4q5yvoCEAI=	https://static.wikia.nocookie.net/6cfc5bd2-fa3a-4684-a0e3-f13e0941b0fa/scale-to-width/48	/home/riley/websites/Fandom/static.wikia.nocookie.net/6cfc5bd2-fa3a-4684-a0e3-f13e0941b0fa/scale-to-width/phpU0lSba.png_;%20filename_=UTF-8''phpU0lSba.png	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:24	1021073/1021073	---M-Z	200	added ('OK')	text/html	etag:W/%22f9491-BhwoIbtSMdxbQv3TNXs7XTxQJNI%22	https://harrypotter.fandom.com/f/p/4400000000003660267/r/4400000000015120924	/home/riley/websites/Fandom/harrypotter.fandom.com/f/p/4400000000003660267/r/4400000000015120924.html	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:28	1297/1297	---M--	200	added ('OK')	image/jpeg	etag:CMS08M7AyvoCEAE=	https://static.wikia.nocookie.net/5bdd7cab-2fce-4547-8382-b1c44d3f38c6/scale-to-width/48	/home/riley/websites/Fandom/static.wikia.nocookie.net/5bdd7cab-2fce-4547-8382-b1c44d3f38c6/scale-to-width/phpt0bbTn.jpg_;%20filename_=UTF-8''phpt0bbTn.jpg	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:30	1026325/1026325	---M-Z	200	added ('OK')	text/html	etag:W/%22fa915-m1Edta0FQ6vBsU2JACzcGnXivjM%22	https://harrypotter.fandom.com/f/p/4400000000003660267/r/4400000000015121022	/home/riley/websites/Fandom/harrypotter.fandom.com/f/p/4400000000003660267/r/4400000000015121022.html	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:34	4046/4046	---M--	200	added ('OK')	image/png	etag:CKmHzN2UrPUCEAE=	https://static.wikia.nocookie.net/afaac8a4-8884-4c59-b89e-b4da80c358d7/scale-to-width/48	/home/riley/websites/Fandom/static.wikia.nocookie.net/afaac8a4-8884-4c59-b89e-b4da80c358d7/scale-to-width/avatar-sci-fi-robot-1.png_;%20filename_=UTF-8''avatar-sci-fi-robot-1.png	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
10:18:35	1029510/1029510	---M-Z	200	added ('OK')	text/html	etag:W/%22fb586-MthB2W1CnKtYE3rIg0NZZng3ry0%22	https://harrypotter.fandom.com/f/p/4400000000003660267/r/4400000000015121106	/home/riley/websites/Fandom/harrypotter.fandom.com/f/p/4400000000003660267/r/4400000000015121106.html	(from https://harrypotter.fandom.com/f/p/4400000000003660267)
